,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING,HOME_TEAM,AWAY_TEAM,HOME_SCORE,AWAY_SCORE,TIME,TEAM,TYPE,SUB_TYPE,ASSIST_PLAYER_ID,ASSIST_COUNT,BLOCK_PLAYER_ID,BLOCK_COUNT,REBOUND_PLAYER_ID,REBOUND_TEAM,REBOUND_OFFENSIVE_COUNT,REBOUND_DEFENSIVE_COUNT,JUMP_BALL_HOME_PLAYER_ID,JUMP_BALL_AWAY_PLAYER_ID,JUMP_BALL_RETRIEVED_PLAYER_ID,SUB_ENTERED_PLAYER_ID,SUB_LEAVING_PLAYER_ID,FREE_THROW_PLAYER_ID,FREE_THROW_NUM,FREE_THROW_TOTAL,FREE_THROW_MADE,FOULED_BY_PLAYER_ID,DRAWN_FOUL_PLAYER_ID,FOUL_COUNT,TEAM_FOUL_COUNT,FOUL_TYPE,TECHNICAL_PLAYER_ID,DOUBLE_TECHNICAL_PLAYER_ID_1,DOUBLE_TECHNICAL_PLAYER_ID_2,DOUBLE_PERSONAL_PLAYER_ID_1,DOUBLE_PERSONAL_PLAYER_ID_2,DOUBLE_PERSONAL_FOUL_COUNT_1,DOUBLE_PERSONAL_FOUL_COUNT_2,COACH_TECHNICAL,SHOT_PLAYER_ID,POINTS_SCORED,TOTAL_POINTS_SCORED,SHOT_MADE,SHOT_TYPE,STEAL_PLAYER_ID,STEAL_COUNT,TURNOVER_PLAYER_ID,TURNOVER_COUNT,TEAM_TURNOVER_COUNT,TURNOVER_TYPE,POSSESSION_ID,PERIOD_START,PERIOD_END,TIMEOUT_TYPE,VIOLATION,VIOLATION_PLAYER_ID,EJECTION,EJECTION_PLAYER_ID,HOME_PLAYER_ID_1,HOME_PLAYER_ID_2,HOME_PLAYER_ID_3,HOME_PLAYER_ID_4,HOME_PLAYER_ID_5,AWAY_PLAYER_ID_1,AWAY_PLAYER_ID_2,AWAY_PLAYER_ID_3,AWAY_PLAYER_ID_4,AWAY_PLAYER_ID_5,HOME_PLAYER_ID_1_PLAY_TIME,HOME_PLAYER_ID_2_PLAY_TIME,HOME_PLAYER_ID_3_PLAY_TIME,HOME_PLAYER_ID_4_PLAY_TIME,HOME_PLAYER_ID_5_PLAY_TIME,AWAY_PLAYER_ID_1_PLAY_TIME,AWAY_PLAYER_ID_2_PLAY_TIME,AWAY_PLAYER_ID_3_PLAY_TIME,AWAY_PLAYER_ID_4_PLAY_TIME,AWAY_PLAYER_ID_5_PLAY_TIME
166,4,9,189,20800003,,,5:10,2,1.0,0,0,0,,,,,,0,,,,,,0,,,,,,,,,11:29 PM,Lakers,Trail Blazers,38,24,1130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TV,,,,,977,2772,965.0,1885.0,2200.0,200750.0,201141.0,201164.0,200746.0,2566.0,868.0,582.0,614.0,760.0,952.0,825.0,572.0,760.0,790.0,852.0
167,0,8,191,20800003,SUB: Radmanovic FOR Odom,,5:10,2,4.0,4,0,1885,Lamar Odom,LAL,Los Angeles,1610612747.0,Lakers,2209,Vladimir Radmanovic,LAL,Los Angeles,1610612747.0,Lakers,0,,,,,,,,,11:32 PM,Lakers,Trail Blazers,38,24,1130,,,,,,,,,,,,,,,2209.0,1885.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977,2772,965.0,2209.0,2200.0,200750.0,201141.0,201164.0,200746.0,2566.0,868.0,582.0,614.0,760.0,952.0,825.0,572.0,760.0,790.0,852.0
168,0,8,192,20800003,SUB: Bynum FOR Ariza,,5:10,2,4.0,4,0,2772,Trevor Ariza,LAL,Los Angeles,1610612747.0,Lakers,101115,Andrew Bynum,LAL,Los Angeles,1610612747.0,Lakers,0,,,,,,,,,11:32 PM,Lakers,Trail Blazers,38,24,1130,,,,,,,,,,,,,,,101115.0,2772.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977,101115,965.0,2209.0,2200.0,200750.0,201141.0,201164.0,200746.0,2566.0,868.0,582.0,614.0,548.0,952.0,825.0,572.0,760.0,790.0,852.0
169,0,8,193,20800003,,,5:10,2,5.0,5,0,201164,Rudy Fernandez,POR,Portland,1610612757.0,Trail Blazers,2581,Steve Blake,POR,Portland,1610612757.0,Trail Blazers,0,,,,,,,,SUB: Blake FOR Fernandez,11:33 PM,Lakers,Trail Blazers,38,24,1130,,,,,,,,,,,,,,,2581.0,201164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977,101115,965.0,2209.0,2200.0,200750.0,201141.0,2581.0,200746.0,2566.0,868.0,548.0,614.0,548.0,952.0,825.0,572.0,760.0,790.0,852.0
170,2,6,195,20800003,Bryant S.FOUL (P2.T3),,4:56,2,4.0,5,1,977,Kobe Bryant,LAL,Los Angeles,1610612747.0,Lakers,201141,Greg Oden,POR,Portland,1610612757.0,Trail Blazers,0,,,,,,,,,11:33 PM,Lakers,Trail Blazers,38,24,1144,,,,,,,,,,,,,,,,,,,,,977.0,201141.0,2.0,3,S.FOUL,,,,,,,,,,,,,,,,,,,,,,,,,,,,977,101115,965.0,2209.0,2200.0,200750.0,201141.0,2581.0,200746.0,2566.0,882.0,562.0,628.0,562.0,966.0,839.0,586.0,662.0,804.0,866.0
171,11,3,196,20800003,,,4:56,2,5.0,0,0,201141,Greg Oden,POR,Portland,1610612757.0,Trail Blazers,0,,,,,,0,,,,,,,,MISS Oden Free Throw 1 of 2,11:33 PM,Lakers,Trail Blazers,38,24,1144,,,,,,,,,,,,,,,,,201141.0,1.0,2.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977,101115,965.0,2209.0,2200.0,200750.0,201141.0,2581.0,200746.0,2566.0,882.0,562.0,628.0,562.0,966.0,839.0,586.0,662.0,804.0,866.0
172,1,4,197,20800003,,,4:56,2,3.0,0,0,1610612757,,,,,,0,,,,,,0,,,,,,,,Trail Blazers Rebound,11:33 PM,Lakers,Trail Blazers,38,24,1144,,,,,,,,1610612757.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977,101115,965.0,2209.0,2200.0,200750.0,201141.0,2581.0,200746.0,2566.0,882.0,562.0,628.0,562.0,966.0,839.0,586.0,662.0,804.0,866.0
173,12,3,198,20800003,,,4:56,2,5.0,0,0,201141,Greg Oden,POR,Portland,1610612757.0,Trail Blazers,0,,,,,,0,,,,,,,,MISS Oden Free Throw 2 of 2,11:33 PM,Lakers,Trail Blazers,38,24,1144,,,,,,,,,,,,,,,,,201141.0,2.0,2.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977,101115,965.0,2209.0,2200.0,200750.0,201141.0,2581.0,200746.0,2566.0,882.0,562.0,628.0,562.0,966.0,839.0,586.0,662.0,804.0,866.0
174,0,4,200,20800003,Radmanovic REBOUND (Off:1 Def:3),,4:55,2,4.0,0,0,2209,Vladimir Radmanovic,LAL,Los Angeles,1610612747.0,Lakers,0,,,,,,0,,,,,,,,,11:34 PM,Lakers,Trail Blazers,38,24,1145,,,,,,,,2209.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977,101115,965.0,2209.0,2200.0,200750.0,201141.0,2581.0,200746.0,2566.0,883.0,563.0,629.0,563.0,967.0,840.0,587.0,663.0,805.0,867.0
175,1,2,201,20800003,MISS Bryant 18' Jump Shot,,4:34,2,4.0,0,0,977,Kobe Bryant,LAL,Los Angeles,1610612747.0,Lakers,0,,,,,,0,,,,,,,,,11:34 PM,Lakers,Trail Blazers,38,24,1166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,977.0,,,False,Shot,,,,,,,,,,,,,,,977,101115,965.0,2209.0,2200.0,200750.0,201141.0,2581.0,200746.0,2566.0,904.0,584.0,650.0,584.0,988.0,861.0,608.0,684.0,826.0,888.0
