game_id,data_set,date,a1,a2,a3,a4,a5,h1,h2,h3,h4,h5,period,away_score,home_score,remaining_time,elapsed,play_length,play_id,team,event_type,assist,away,home,block,entered,left,num,opponent,outof,player,points,possession,reason,result,steal,type,shot_distance,original_x,original_y,converted_x,converted_y,description
"=""0021900002""",2019-2020 Regular Season,2019-10-22,Anthony Davis,Danny Green,Avery Bradley,LeBron James,Kentavious Caldwell-Pope,Montrezl Harrell,JaMychal Green,Patrick Beverley,Landry Shamet,Kawhi Leonard,4,96,104,00:03:50,00:08:10,00:00:15,625,LAL,foul,,,,,,,,Kawhi Leonard,,LeBron James,,,p.foul,,,p.foul,,,,,,James P.FOUL (P3.T4) (D.Taylor)
"=""0021900002""",2019-2020 Regular Season,2019-10-22,Anthony Davis,Danny Green,Avery Bradley,LeBron James,Kentavious Caldwell-Pope,Montrezl Harrell,Patrick Beverley,Landry Shamet,Kawhi Leonard,Lou Williams,4,96,104,00:03:50,00:08:10,00:00:00,627,LAC,sub,,,,,Lou Williams,JaMychal Green,,,,JaMychal Green,,,,,,sub,,,,,,SUB: Williams FOR Green
"=""0021900002""",2019-2020 Regular Season,2019-10-22,Anthony Davis,Danny Green,Avery Bradley,LeBron James,Kentavious Caldwell-Pope,Montrezl Harrell,Patrick Beverley,Kawhi Leonard,Lou Williams,Maurice Harkless,4,96,104,00:03:50,00:08:10,00:00:00,628,LAC,sub,,,,,Maurice Harkless,Landry Shamet,,,,Landry Shamet,,,,,,sub,,,,,,SUB: Harkless FOR Shamet
"=""0021900002""",2019-2020 Regular Season,2019-10-22,Anthony Davis,Danny Green,Avery Bradley,LeBron James,Kentavious Caldwell-Pope,Montrezl Harrell,Patrick Beverley,Kawhi Leonard,Lou Williams,Maurice Harkless,4,96,106,00:03:41,00:08:19,00:00:09,631,LAC,shot,,,,,,,,,,Kawhi Leonard,2.0,,,made,,Turnaround Jump Shot,5.0,44.0,22.0,29.4,86.8,Leonard 5' Turnaround Jump Shot (28 PTS)
"=""0021900002""",2019-2020 Regular Season,2019-10-22,Anthony Davis,Danny Green,Avery Bradley,LeBron James,Kentavious Caldwell-Pope,Montrezl Harrell,Patrick Beverley,Kawhi Leonard,Lou Williams,Maurice Harkless,4,99,106,00:03:28,00:08:32,00:00:13,632,LAL,shot,LeBron James,,,,,,,,,Danny Green,3.0,,,made,,Step Back Jump Shot,24.0,231.0,61.0,1.9,11.1,Green 24' 3PT Step Back Jump Shot (28 PTS) (James 8 AST)
"=""0021900002""",2019-2020 Regular Season,2019-10-22,Anthony Davis,Danny Green,Avery Bradley,LeBron James,Kentavious Caldwell-Pope,Montrezl Harrell,Patrick Beverley,Kawhi Leonard,Lou Williams,Maurice Harkless,4,99,106,00:03:13,00:08:47,00:00:15,634,LAL,foul,,,,,,,,Montrezl Harrell,,Kentavious Caldwell-Pope,,,p.foul,,,p.foul,,,,,,Caldwell-Pope P.FOUL (P4.PN) (K.Fitzgerald)
"=""0021900002""",2019-2020 Regular Season,2019-10-22,Anthony Davis,Danny Green,Avery Bradley,LeBron James,Kentavious Caldwell-Pope,Montrezl Harrell,Patrick Beverley,Kawhi Leonard,Lou Williams,Maurice Harkless,4,99,107,00:03:13,00:08:47,00:00:00,636,LAC,free throw,,,,,,,1.0,,2.0,Montrezl Harrell,1.0,,,made,,Free Throw 1 of 2,,,,,,Harrell Free Throw 1 of 2 (14 PTS)
"=""0021900002""",2019-2020 Regular Season,2019-10-22,Anthony Davis,Danny Green,Avery Bradley,LeBron James,Kentavious Caldwell-Pope,Montrezl Harrell,Patrick Beverley,Kawhi Leonard,Lou Williams,Maurice Harkless,4,99,107,00:03:13,00:08:47,00:00:00,637,LAC,free throw,,,,,,,2.0,,2.0,Montrezl Harrell,0.0,,,missed,,Free Throw 2 of 2,,,,,,MISS Harrell Free Throw 2 of 2
"=""0021900002""",2019-2020 Regular Season,2019-10-22,Anthony Davis,Danny Green,Avery Bradley,LeBron James,Kentavious Caldwell-Pope,Montrezl Harrell,Patrick Beverley,Kawhi Leonard,Lou Williams,Maurice Harkless,4,99,107,00:03:10,00:08:50,00:00:03,638,LAC,rebound,,,,,,,,,,Patrick Beverley,,,,,,rebound offensive,,,,,,Beverley REBOUND (Off:2 Def:7)
"=""0021900002""",2019-2020 Regular Season,2019-10-22,Anthony Davis,Danny Green,Avery Bradley,LeBron James,Kentavious Caldwell-Pope,Montrezl Harrell,Patrick Beverley,Kawhi Leonard,Lou Williams,Maurice Harkless,4,99,109,00:03:05,00:08:55,00:00:05,639,LAC,shot,Lou Williams,,,,,,,,,Montrezl Harrell,2.0,,,made,,Layup,2.0,-12.0,16.0,23.8,87.4,Harrell 2' Layup (16 PTS) (Williams 7 AST)
"=""0021900002""",2019-2020 Regular Season,2019-10-22,Anthony Davis,Danny Green,Avery Bradley,LeBron James,Kentavious Caldwell-Pope,Montrezl Harrell,Patrick Beverley,Kawhi Leonard,Lou Williams,Maurice Harkless,4,99,109,00:03:05,00:08:55,00:00:00,641,LAL,foul,,,,,,,,Montrezl Harrell,,Danny Green,,,s.foul,,,s.foul,,,,,,Green S.FOUL (P3.PN) (M.Lindsay)
"=""0021900002""",2019-2020 Regular Season,2019-10-22,Anthony Davis,Danny Green,Avery Bradley,LeBron James,Kentavious Caldwell-Pope,Montrezl Harrell,Patrick Beverley,Kawhi Leonard,Lou Williams,Maurice Harkless,4,99,110,00:03:05,00:08:55,00:00:00,643,LAC,free throw,,,,,,,1.0,,1.0,Montrezl Harrell,1.0,,,made,,Free Throw 1 of 1,,,,,,Harrell Free Throw 1 of 1 (17 PTS)
"=""0021900002""",2019-2020 Regular Season,2019-10-22,Anthony Davis,Danny Green,Avery Bradley,LeBron James,Kentavious Caldwell-Pope,Montrezl Harrell,Patrick Beverley,Kawhi Leonard,Lou Williams,Maurice Harkless,4,102,110,00:02:51,00:09:09,00:00:14,644,LAL,shot,Anthony Davis,,,,,,,,,Avery Bradley,3.0,,,made,,Jump Shot,26.0,128.0,221.0,12.2,27.1,Bradley 26' 3PT Jump Shot (8 PTS) (Davis 5 AST)
"=""0021900002""",2019-2020 Regular Season,2019-10-22,Anthony Davis,Danny Green,Avery Bradley,LeBron James,Kentavious Caldwell-Pope,Montrezl Harrell,Patrick Beverley,Kawhi Leonard,Lou Williams,Maurice Harkless,4,102,110,00:02:45,00:09:15,00:00:06,646,LAC,foul,,,,,,,,LeBron James,,Kawhi Leonard,,,offensive charge foul,,,offensive charge foul,,,,,,Leonard Offensive Charge Foul (P4.T2) (K.Fitzgerald)
"=""0021900002""",2019-2020 Regular Season,2019-10-22,Anthony Davis,Danny Green,Avery Bradley,LeBron James,Kentavious Caldwell-Pope,Montrezl Harrell,Patrick Beverley,Kawhi Leonard,Lou Williams,Maurice Harkless,4,102,110,00:02:45,00:09:15,00:00:00,648,LAC,turnover,,,,,,,,,,Kawhi Leonard,,,offensive foul turnover,,,offensive foul turnover,,,,,,Leonard Offensive Foul Turnover (P6.T13)
