master_col,desc,col_BDB,col_834,notes
a1,name of player 1 on court for away team,a1,[map player id],create a matching column in the 834 data set by mapping [HOME/AWAY]_PLAYER_ID_[N] to player names
a2,name of player 2 on court for away team,a2,[map player id],create a matching column in the 834 data set by mapping [HOME/AWAY]_PLAYER_ID_[N] to player names
a3,name of player 3 on court for away team,a3,[map player id],create a matching column in the 834 data set by mapping [HOME/AWAY]_PLAYER_ID_[N] to player names
a4,name of player 4 on court for away team,a4,[map player id],create a matching column in the 834 data set by mapping [HOME/AWAY]_PLAYER_ID_[N] to player names
a5,name of player 5 on court for away team,a5,[map player id],create a matching column in the 834 data set by mapping [HOME/AWAY]_PLAYER_ID_[N] to player names
assist_player,,assist,[map player id],create a matching column in the 834 data set by mapping ASSIST_PLAYER_ID to player names
jump_ball_away_player,,away,[map player id],create a matching column in the 834 data set by mapping JUMP_BALL_AWAY_PLAYER_ID to player names
away_score,current away team score,away_score,AWAY_SCORE,
block_player,,block,[map player id],create a matching column in the 834 data set by mapping BLOCK_PLAYER_ID to player names
converted_x,converted x coordinate of shot,converted_x,[X],
converted_y,converted y coordinate of shot,converted_y,[X],
season_desc,description of the season segment (e.g. year + reg season or playoffs),data_set,[X],
date,game date,date,[X],
description,raw textual description of event,description,[collapse],collapse HOMEDESCRIPTION NEUTRALDESCRIPTION and AWAYDESCRIPTION
elapsed_in_quarter,time elapsed in quarter,elapsed,[convert from seconds],create a matching column in the 834 data set by converting TIME from seconds to a time object
sub_entered_player,,entered,[map player id],create a matching column in the 834 data set by mapping SUB_ENTERED_PLAYER_ID to player names
event_type,category of action (text),event_type,[enumerated],I suspect EVENTMSGACTIONTYPE is the enumerated equivalent in the 834 data
game_id,nba game id,game_id,GAME_ID,
h1,name of player 1 on court for home team,h1,[map player id],create a matching column in the 834 data set by mapping [HOME/AWAY]_PLAYER_ID_[N] to player names
h2,name of player 2 on court for home team,h2,[map player id],create a matching column in the 834 data set by mapping [HOME/AWAY]_PLAYER_ID_[N] to player names
h3,name of player 3 on court for home team,h3,[map player id],create a matching column in the 834 data set by mapping [HOME/AWAY]_PLAYER_ID_[N] to player names
h4,name of player 4 on court for home team,h4,[map player id],create a matching column in the 834 data set by mapping [HOME/AWAY]_PLAYER_ID_[N] to player names
h5,name of player 5 on court for home team,h5,[map player id],create a matching column in the 834 data set by mapping [HOME/AWAY]_PLAYER_ID_[N] to player names
jump_ball_home_player,,home,[map player id],create a matching column in the 834 data set by mapping JUMP_BALL_HOME_PLAYER_ID to player names
home_score,current home team score,home_score,HOME_SCORE,
sub_leaving_player,,left,[map player id],create a matching column in the 834 data set by mapping SUB_LEAVING_PLAYER_ID to player names
free_throw_num,free throw number,num,FREE_THROW_NUM,
opponent,name of opponent player for event,opponent,[X],
original_x,original x coordinate of shot,original_x,[X],
original_y,original y coordinate of shot,original_y,[X],
free_throw_outof,number of free throws,outof,FREE_THROW_TOTAL,
period,current period,period,PERIOD,
play_id,play number/order in game,play_id,EVENTNUM,
play_duration,duration of play,play_length,[X],
player1,name of player 1 (in play by play description),player,PLAYER1_NAME,
points_on_shot,points scored for player's shot,points,POINTS_SCORED,
jump_ball_retrieved_player,,possession,[map player id],create a matching column in the 834 data set by mapping JUMP_BALL_RETRIEVED_PLAYER_ID to player names
reason,[ignore; redundant],reason,[X],
remaining_in_quarter,time left in quarter,remaining_time,PCTIMESTRING,
result,,result,[enumerated. collapse],"collapse SHOT_MADE + FREE_THROW_MADE and convert from TRUE/FALSE to ""made""/""missed"""
shot_distance,shot distance from basket,shot_distance,[X],
steal_player,,steal,[map player id],create a matching column in the 834 data set by mapping STEAL_PLAYER_ID to player names
team1,team abbreviation for player 1 (in play-by-play description),team,PLAYER1_TEAM_ABBREVIATION,
event_subtype,further breakdown category of action (text),type,[enumerated],I suspect EVENTMSGTYPE is the enumerated equivalent in the 834 data
a_id1,player id for player 1 on court for away team,[X],AWAY_PLAYER_ID_1,
