,game_id,play_id,timeouts_rem_home,timeouts_rem_away
99,20800001,490,2.0,3.0
100,20800001,491,2.0,2.0
101,20800001,493,2.0,2.0
102,20800001,495,2.0,2.0
103,20800001,497,2.0,2.0
104,20800001,498,2.0,2.0
105,20800001,499,2.0,2.0
106,20800001,500,2.0,2.0
107,20800001,501,2.0,2.0
108,20800001,502,2.0,2.0
109,20800001,503,2.0,2.0
110,20800001,504,2.0,2.0
111,20800001,505,2.0,2.0
112,20800001,506,2.0,2.0
113,20800001,508,2.0,2.0
114,20800001,510,2.0,2.0
115,20800001,511,2.0,2.0
116,20800001,512,2.0,2.0
117,20800001,513,2.0,2.0
118,20800001,514,2.0,2.0
119,20800001,515,2.0,2.0
120,20800001,516,1.0,2.0
121,20800001,518,1.0,2.0
122,20800001,519,1.0,2.0
123,20800001,520,1.0,1.0
124,20800001,521,1.0,1.0
125,20800001,522,1.0,1.0
126,20800001,523,1.0,1.0
127,20800001,524,1.0,1.0
128,20800001,525,1.0,1.0
129,20800001,526,1.0,1.0
130,20800001,527,1.0,1.0
131,20800001,529,1.0,1.0
132,20800001,530,1.0,1.0
133,20800001,531,1.0,1.0
134,20800001,533,1.0,1.0
135,20800001,534,1.0,1.0
136,20800001,535,1.0,1.0
137,20800001,536,1.0,1.0
138,20800001,537,1.0,1.0
139,20800001,539,1.0,1.0
140,20800001,540,1.0,1.0
141,20800001,542,1.0,1.0
142,20800001,544,1.0,0.0
143,20800001,546,1.0,0.0
144,20800001,547,1.0,-1.0
145,20800001,548,1.0,-1.0
146,20800001,549,1.0,-1.0
147,20800001,550,1.0,-1.0
234,20800002,519,2.0,2.0
235,20800002,520,2.0,1.0
236,20800002,521,2.0,1.0
237,20800002,522,2.0,1.0
238,20800002,523,2.0,1.0
239,20800002,524,2.0,1.0
240,20800002,529,2.0,1.0
241,20800002,525,2.0,1.0
242,20800002,526,2.0,1.0
243,20800002,527,2.0,1.0
244,20800002,528,2.0,1.0
245,20800002,531,2.0,1.0
246,20800002,532,2.0,1.0
247,20800002,535,2.0,1.0
248,20800002,536,2.0,1.0
249,20800002,539,2.0,1.0
250,20800002,540,2.0,1.0
251,20800002,541,2.0,1.0
252,20800002,542,2.0,1.0
253,20800002,543,2.0,1.0
254,20800002,544,2.0,1.0
